"frame","x1","x2","y1","y2","confidence","objectId","cls","cls_conf"
77,917.0,1247.3,436.4,659.0,0.95,25,car,0.94
78,205.4,493.2,500.5,613.4,1.0,25,car,1.0
78,682.8,862.4,481.4,559.6,0.99,25,car,0.99
78,912.7,1250.6,437.5,664.4,0.98,25,car,0.98
78,888.7,952.8,469.1,519.7,0.95,25,car,0.97
78,858.0,891.8,477.4,501.6,0.81,25,car,0.99
79,227.1,516.4,500.8,613.2,1.0,25,car,1.0
79,694.8,878.0,479.7,556.5,1.0,25,car,0.98
79,917.6,1245.5,440.7,655.7,0.97,25,car,0.96
79,889.1,955.5,466.2,519.3,0.96,25,car,0.97
80,243.7,540.1,499.6,614.0,1.0,25,car,1.0
80,709.2,875.3,478.8,554.9,1.0,25,car,0.99
80,895.4,952.9,465.6,518.1,0.95,25,car,0.96
80,919.5,1243.7,435.3,649.3,0.91,25,car,0.93
81,247.3,542.9,499.7,614.3,1.0,25,car,1.0
81,713.9,871.2,478.7,555.3,1.0,25,car,0.99
81,892.2,958.5,464.0,520.0,0.97,25,car,0.98
81,922.5,1242.5,436.8,650.5,0.97,25,car,0.94
82,257.0,556.4,502.4,613.2,1.0,25,car,1.0
82,724.6,889.3,479.3,553.5,1.0,25,car,0.99
82,896.5,950.4,469.0,515.4,0.94,25,car,0.95
82,916.8,1245.4,440.4,650.1,0.92,25,car,0.95
82,850.8,903.3,476.0,508.0,0.85,25,car,0.99
83,297.8,580.6,503.4,609.6,1.0,25,car,1.0
83,732.0,891.2,478.0,554.1,1.0,25,car,0.99
83,924.4,1237.3,439.2,651.4,0.94,25,car,0.95
83,896.4,956.2,465.5,514.5,0.9,25,car,0.97
84,298.9,587.3,502.7,610.0,1.0,25,car,1.0
84,753.8,869.8,482.1,547.2,0.94,25,car,0.99
84,735.5,822.3,488.4,549.3,0.93,25,car,0.99
84,929.0,1230.2,439.9,649.1,0.96,25,car,0.93
84,899.9,956.9,463.9,514.4,0.8,25,car,0.96
85,304.2,589.2,501.2,611.6,1.0,25,car,1.0
85,747.6,878.7,479.8,548.2,0.99,25,car,0.98
85,930.8,1230.8,437.5,651.7,0.95,25,car,0.91
85,896.4,963.8,465.1,515.3,0.87,25,car,0.97
86,329.3,613.0,502.8,609.6,1.0,25,car,1.0
86,765.2,904.7,478.0,547.4,0.99,25,car,1.0
86,928.1,1209.6,442.4,633.8,0.86,25,car,0.96
87,347.3,632.9,503.3,608.5,1.0,25,car,1.0
87,769.0,902.8,478.9,545.2,0.99,25,car,0.98
87,930.3,1206.2,442.7,638.3,0.91,25,car,0.78
88,350.1,635.5,501.3,610.2,1.0,25,car,1.0
88,774.6,904.7,476.6,542.1,0.99,25,car,0.99
88,929.0,1204.9,444.8,640.8,0.95,25,car,0.86
89,367.7,634.3,501.1,607.9,1.0,25,car,1.0
89,774.0,908.0,475.5,543.0,1.0,25,car,0.99
89,928.6,1201.5,448.4,629.0,0.93,25,car,0.84
90,384.3,662.1,504.1,606.6,1.0,25,car,1.0
90,779.1,925.0,473.7,542.2,1.0,25,car,0.99
90,936.1,1201.3,445.8,630.4,0.95,25,car,0.81
91,401.9,673.4,500.6,607.7,1.0,25,car,1.0
91,802.4,921.8,475.6,539.1,0.99,25,car,0.99
91,927.6,1191.3,447.1,629.3,0.97,25,car,0.96
92,407.5,677.0,501.8,608.7,1.0,25,car,1.0
